,City,Country,Date,Lat,Lng,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Bonavista,CA,2020-02-21 01:11:12,48.65,-53.11,9.0,65,94,23.0,overcast clouds,0.0,0.0
1,Kavieng,PG,2020-02-21 01:11:13,-2.57,150.8,83.57,74,47,9.69,scattered clouds,0.0,0.0
2,Cape Town,ZA,2020-02-21 01:08:06,-33.93,18.42,66.0,88,0,16.11,clear sky,0.0,0.0
3,Mecca,SA,2020-02-21 01:10:15,21.43,39.83,60.39,46,0,2.95,clear sky,0.0,0.0
4,Ushuaia,AR,2020-02-21 01:11:13,-54.8,-68.3,51.8,66,75,6.04,broken clouds,0.0,0.0
5,Ribeira Grande,PT,2020-02-21 01:11:14,38.52,-28.7,52.65,71,50,8.88,scattered clouds,0.0,0.0
6,Kapaa,US,2020-02-21 01:08:28,22.08,-159.32,80.6,57,40,18.34,scattered clouds,0.0,0.0
7,Port-Cartier,CA,2020-02-21 01:11:14,50.03,-66.87,-5.8,48,5,9.17,clear sky,0.0,0.0
8,Dubki,RU,2020-02-21 01:11:14,43.02,46.84,39.2,86,90,6.71,overcast clouds,0.0,0.0
9,Malakal,SS,2020-02-21 01:11:14,9.53,31.66,77.92,16,25,11.32,scattered clouds,0.0,0.0
10,Punta Arenas,CL,2020-02-21 01:11:15,-53.15,-70.92,55.4,66,75,11.41,broken clouds,0.0,0.0
11,Carnarvon,AU,2020-02-21 01:11:04,-24.87,113.63,80.6,69,100,12.75,light rain,0.94,0.0
12,Sinnamary,GF,2020-02-21 01:11:15,5.38,-52.95,78.64,75,65,13.2,broken clouds,0.0,0.0
13,Mataura,NZ,2020-02-21 01:11:15,-46.19,168.86,63.0,75,68,24.0,light rain,0.56,0.0
14,Satipo,PE,2020-02-21 01:11:15,-11.25,-74.64,67.75,80,21,3.91,light rain,0.31,0.0
15,Zamora,EC,2020-02-21 01:11:16,-4.07,-78.96,59.94,95,54,2.42,moderate rain,3.44,0.0
16,Butaritari,KI,2020-02-21 01:11:16,3.07,172.79,83.82,78,98,13.15,light rain,0.31,0.0
17,Barrow,US,2020-02-21 01:10:50,71.29,-156.79,-13.0,75,40,9.17,mist,0.0,0.0
18,Nyurba,RU,2020-02-21 01:11:16,63.28,118.33,7.05,96,100,4.68,overcast clouds,0.0,0.0
19,Lavrentiya,RU,2020-02-21 01:11:16,65.58,-171.0,-11.74,83,0,8.12,clear sky,0.0,0.0
20,Grand Gaube,MU,2020-02-21 01:11:17,-20.01,57.66,78.8,74,40,11.41,scattered clouds,0.0,0.0
21,Hilo,US,2020-02-21 01:10:28,19.73,-155.09,77.0,53,90,6.93,overcast clouds,0.0,0.0
22,Hithadhoo,MV,2020-02-21 01:11:17,-0.6,73.08,83.23,77,24,10.0,few clouds,0.0,0.0
23,Quatre Cocos,MU,2020-02-21 01:11:18,-20.21,57.76,78.8,74,40,11.41,scattered clouds,0.0,0.0
24,Avarua,CK,2020-02-21 01:11:18,-21.21,-159.78,84.2,83,100,8.05,light rain,0.25,0.0
25,Rikitea,PF,2020-02-21 01:11:18,-23.12,-134.97,78.64,74,47,10.56,light rain,0.63,0.0
26,Puerto Ayora,EC,2020-02-21 01:11:18,-0.74,-90.35,80.6,78,40,5.82,scattered clouds,0.0,0.0
27,Camana,PE,2020-02-21 01:11:18,-16.62,-72.71,69.3,81,70,4.99,broken clouds,0.0,0.0
28,Saskylakh,RU,2020-02-21 01:11:19,71.92,114.08,-19.77,100,82,3.13,broken clouds,0.0,0.0
29,Yumen,CN,2020-02-21 01:11:19,40.28,97.2,17.83,61,62,4.29,broken clouds,0.0,0.0
30,Jamestown,US,2020-02-21 01:11:19,42.1,-79.24,21.99,78,90,6.93,light snow,0.0,0.0
31,Fort Nelson,CA,2020-02-21 01:11:19,58.81,-122.7,39.2,41,75,5.82,broken clouds,0.0,0.0
32,Kununurra,AU,2020-02-21 01:11:20,-15.77,128.73,87.8,62,100,9.17,overcast clouds,0.0,0.0
33,Bredasdorp,ZA,2020-02-21 01:11:20,-34.53,20.04,63.0,87,22,2.24,few clouds,0.0,0.0
34,Atar,MR,2020-02-21 01:11:20,20.52,-13.05,71.51,13,0,8.68,clear sky,0.0,0.0
35,Clyde River,CA,2020-02-21 01:11:20,70.47,-68.59,-9.4,76,90,16.11,overcast clouds,0.0,0.0
