,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cape Town,ZA,66.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
3,Mecca,SA,60.39,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
10,Punta Arenas,CL,55.4,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
27,Camana,PE,69.3,broken clouds,-16.62,-72.71,Hostal Morales
33,Bredasdorp,ZA,63.0,few clouds,-34.53,20.04,Bredasdorp Country Manor
34,Atar,MR,71.51,clear sky,20.52,-13.05,Oumou Elghoura
41,Banda Aceh,ID,72.41,scattered clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
48,Gilbues,BR,69.31,broken clouds,-9.83,-45.34,Hotel Camapuã
49,East London,ZA,74.05,broken clouds,-33.02,27.91,Tu Casa
53,Hobart,AU,62.01,light intensity shower rain,-42.88,147.33,St Ives Apartments
57,Arlit,NE,69.42,scattered clouds,18.74,7.39,Hôtel Telwa Bungalow
59,Sharjah,AE,73.4,broken clouds,25.36,55.4,Swiss Belhotel Sharjah
61,Mangochi,MW,67.26,overcast clouds,-14.48,35.26,Eunice Guesthouse
66,Malanje,AO,65.5,broken clouds,-9.54,16.34,Malanje Hotel
70,Abha,SA,59.0,overcast clouds,18.22,42.51,Abha Hotel
71,Riachao Das Neves,BR,70.45,scattered clouds,-11.75,-44.91,Casa de vó Dina
73,New Norfolk,AU,62.01,light intensity shower rain,-42.78,147.06,The Shingles Riverside Cottages
76,Coquimbo,CL,62.6,overcast clouds,-29.95,-71.34,Hotel San Juan
80,Junnar,IN,65.64,few clouds,19.2,73.88,Hotel Anand
84,Hermanus,ZA,63.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
92,Adrar,MR,71.01,clear sky,20.5,-10.07,
93,Luderitz,,69.8,scattered clouds,-26.65,15.16,LÜDERITZ NEST HOTEL
96,Ishigaki,JP,71.6,few clouds,24.34,124.16,Hotel Peace Land Ishigakijima
97,Bukama,CD,69.58,overcast clouds,-9.2,25.85,
98,Saint George,US,62.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
103,Shakawe,BW,69.6,broken clouds,-18.37,21.85,Ditlhapi Guest House
104,Rosarito,MX,73.4,clear sky,32.33,-117.03,Festival Plaza
105,Kutum,SD,56.89,scattered clouds,14.2,24.67,
109,Kruisfontein,ZA,62.01,broken clouds,-34.0,24.73,Oyster Bay House Rental
