,City,Country,Date,Lat,Lng,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Mataura,NZ,2020-02-20 22:04:12,-46.19,168.86,66.38,74,87,3.87,overcast clouds,0.0,0.0
1,Lat Yao,TH,2020-02-20 22:04:12,15.75,99.79,73.2,49,14,5.32,few clouds,0.0,0.0
2,Port Elizabeth,ZA,2020-02-20 22:00:05,-33.92,25.57,68.0,88,32,13.87,light rain,0.31,0.0
3,Ushuaia,AR,2020-02-20 22:04:12,-54.8,-68.3,53.6,62,90,14.99,light rain,0.0,0.0
4,Ourossogui,SN,2020-02-20 22:04:13,15.61,-13.32,77.0,47,51,7.34,broken clouds,0.0,0.0
5,Little Current,CA,2020-02-20 22:04:13,45.98,-81.92,16.0,51,1,5.82,clear sky,0.0,0.0
6,Yellowknife,CA,2020-02-20 22:00:33,62.46,-114.35,33.01,79,20,11.41,few clouds,0.0,0.0
7,Kavieng,PG,2020-02-20 22:04:13,-2.57,150.8,83.3,75,53,9.22,broken clouds,0.0,0.0
8,Gambo,CF,2020-02-20 22:04:13,4.65,22.26,77.41,41,15,1.57,few clouds,0.0,0.0
9,Upernavik,GL,2020-02-20 22:04:14,72.79,-56.15,-11.58,99,100,4.09,overcast clouds,0.0,0.0
10,Busselton,AU,2020-02-20 22:04:03,-33.65,115.33,68.0,34,70,15.84,broken clouds,0.0,0.0
11,Laguna,US,2020-02-20 22:04:14,38.42,-121.42,69.01,42,1,6.93,clear sky,0.0,0.0
12,Hobart,AU,2020-02-20 21:59:42,-42.88,147.33,55.0,50,75,12.75,light intensity shower rain,0.0,0.0
13,Auki,SB,2020-02-20 22:02:13,-8.77,160.7,83.28,78,100,8.72,moderate rain,4.13,0.0
14,Inhambane,MZ,2020-02-20 22:04:14,-23.86,35.38,80.2,75,3,10.56,clear sky,0.0,0.0
15,Pinotepa Nacional,MX,2020-02-20 22:04:15,16.32,-98.02,95.25,20,0,13.65,clear sky,0.0,0.0
16,Panguna,PG,2020-02-20 22:04:15,-6.32,155.48,72.18,88,88,1.99,light rain,0.13,0.0
17,Geraldton,AU,2020-02-20 22:04:15,-28.77,114.6,73.4,83,99,3.36,overcast clouds,0.0,0.0
18,Victoria,HK,2020-02-20 22:01:08,22.29,114.16,62.6,67,0,8.05,clear sky,0.0,0.0
19,Ingham,US,2020-02-20 22:04:15,42.6,-84.38,24.01,41,40,8.05,scattered clouds,0.0,0.0
20,Longyearbyen,SJ,2020-02-20 22:01:36,78.22,15.64,6.8,60,40,14.99,scattered clouds,0.0,0.0
21,Bredasdorp,ZA,2020-02-20 22:04:16,-34.53,20.04,62.6,82,7,2.24,clear sky,0.0,0.0
22,Marawi,PH,2020-02-20 22:04:16,8.0,124.29,70.0,82,0,7.0,clear sky,0.0,0.0
23,Necochea,AR,2020-02-20 22:04:16,-38.55,-58.74,62.01,72,76,14.0,light rain,0.56,0.0
24,Sao Geraldo Do Araguaia,BR,2020-02-20 22:04:16,-6.4,-48.55,72.57,96,100,5.21,light rain,1.06,0.0
25,Sitka,US,2020-02-20 22:03:22,57.05,-135.33,37.4,86,90,25.28,light rain,0.0,0.0
26,Rikitea,PF,2020-02-20 22:04:17,-23.12,-134.97,78.85,75,40,9.98,scattered clouds,0.0,0.0
27,Houston,US,2020-02-20 21:59:55,29.76,-95.36,50.0,76,90,19.46,light rain,0.0,0.0
28,Puerto Ayora,EC,2020-02-20 22:04:17,-0.74,-90.35,80.6,83,75,9.17,light rain,0.0,0.0
29,Ola,RU,2020-02-20 22:04:17,59.58,151.28,-10.28,76,0,3.91,clear sky,0.0,0.0
30,Mackay,AU,2020-02-20 22:04:18,-21.15,149.2,84.0,83,75,3.36,broken clouds,0.0,0.0
31,Trincomalee,LK,2020-02-20 22:02:28,8.57,81.23,74.62,96,55,4.63,light rain,0.38,0.0
32,Lima,PE,2020-02-20 22:04:11,-12.04,-77.03,80.6,69,100,11.41,overcast clouds,0.0,0.0
33,Horodnytsya,UA,2020-02-20 22:04:18,50.81,27.32,36.77,88,97,2.42,overcast clouds,0.0,0.0
34,Atuona,PF,2020-02-20 22:04:18,-9.8,-139.03,81.59,75,21,18.77,light rain,0.13,0.0
35,Les Cayes,HT,2020-02-20 22:04:18,18.2,-73.75,80.76,71,1,14.58,clear sky,0.0,0.0
36,Esil,KZ,2020-02-20 22:04:19,51.96,66.4,10.6,91,86,7.16,overcast clouds,0.0,0.0
37,Husavik,IS,2020-02-20 22:04:19,66.04,-17.34,30.2,100,90,12.75,light snow,0.0,0.0
38,Arraial Do Cabo,BR,2020-02-20 22:04:19,-22.97,-42.03,82.4,74,0,13.87,clear sky,0.0,0.0
39,Albany,US,2020-02-20 22:04:20,42.6,-73.97,27.0,44,40,14.99,scattered clouds,0.0,0.0
40,Kapaa,US,2020-02-20 22:04:20,22.08,-159.32,78.8,57,75,10.29,broken clouds,0.0,0.0
41,Ziarat,PK,2020-02-20 22:04:20,30.38,67.73,35.4,53,53,9.42,broken clouds,0.0,0.0
42,Chuy,UY,2020-02-20 22:04:20,-33.7,-53.46,68.29,47,6,16.96,clear sky,0.0,0.0
43,Punta Arenas,CL,2020-02-20 22:04:20,-53.15,-70.92,59.0,51,19,12.75,few clouds,0.0,0.0
44,Porto Santo,PT,2020-02-20 22:04:21,33.07,-16.34,57.2,82,40,10.29,scattered clouds,0.0,0.0
45,San Policarpo,PH,2020-02-20 22:04:21,12.18,125.51,77.94,83,91,19.55,moderate rain,3.44,0.0
46,Tirano,IT,2020-02-20 22:04:21,46.22,10.17,37.99,72,0,3.36,clear sky,0.0,0.0
47,Cortes,ES,2020-02-20 22:04:21,41.94,-1.44,50.0,70,2,9.17,clear sky,0.0,0.0
48,Chokurdakh,RU,2020-02-20 22:04:21,70.63,147.92,-14.17,96,93,3.56,overcast clouds,0.0,0.0
49,Olafsvik,IS,2020-02-20 22:04:22,64.89,-23.71,29.16,78,100,33.64,overcast clouds,0.0,0.0
50,Airai,TL,2020-02-20 22:01:48,-8.93,125.41,66.94,91,80,4.59,light rain,0.19,0.0
51,Castro,BR,2020-02-20 22:04:22,-24.79,-50.01,78.89,57,100,2.8,overcast clouds,0.0,0.0
