,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,66.38,overcast clouds,-46.19,168.86,Ellie's Villa
1,Lat Yao,TH,73.2,few clouds,15.75,99.79,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
10,Busselton,AU,68.0,broken clouds,-33.65,115.33,Observatory Guest House
11,Laguna,US,69.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Ctrl - Sacramento S
12,Hobart,AU,55.0,light intensity shower rain,-42.88,147.33,St Ives Apartments
17,Geraldton,AU,73.4,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
18,Victoria,HK,62.6,clear sky,22.29,114.16,Mini Hotel Central
21,Bredasdorp,ZA,62.6,clear sky,-34.53,20.04,Bredasdorp Country Manor
22,Marawi,PH,70.0,clear sky,8.0,124.29,Derogongan Residence
42,Chuy,UY,68.29,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
43,Punta Arenas,CL,59.0,few clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
44,Porto Santo,PT,57.2,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
52,Broken Hill,AU,59.0,broken clouds,-31.95,141.43,Daydream Motel & Cottages
54,Nelson Bay,AU,75.0,broken clouds,-32.72,152.15,Mantra Nelson Bay
56,Esperance,AU,55.4,clear sky,-33.87,121.9,Hospitality Esperance
61,Bluff,NZ,66.81,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
63,Bengkulu,ID,72.91,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
65,Koregaon,IN,70.7,clear sky,18.65,74.08,hotel nisarg lounge
67,Det Udom,TH,68.0,clear sky,14.91,105.08,Chatsuda Resort
68,Ponta Do Sol,PT,57.2,scattered clouds,32.67,-17.1,Hotel do Campo
73,Ribeira Grande,PT,57.2,scattered clouds,38.52,-28.7,Quinta da Meia Eira
78,Mar Del Plata,AR,64.0,light rain,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
86,Hermanus,ZA,64.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
87,Guerrero Negro,MX,73.98,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
95,Bilma,NE,66.87,scattered clouds,18.69,12.92,Expeditions Ténére voyages
99,Iranshahr,IR,62.6,overcast clouds,27.2,60.68,کافی نت دانشگاه
100,San Carlos De Bariloche,AR,73.4,clear sky,-41.15,-71.31,Hotel Patagonia
102,Praia,CV,67.98,scattered clouds,14.92,-23.51,LT Aparthotel
106,Ancud,CL,69.8,clear sky,-41.87,-73.82,HOTEL ANCUD DON LUCAS
111,Kutum,SD,61.21,clear sky,14.2,24.67,
112,New Norfolk,AU,55.0,light intensity shower rain,-42.78,147.06,The Shingles Riverside Cottages
114,Naze,JP,62.6,scattered clouds,28.37,129.48,奄美ポートタワーホテル
116,Luderitz,,71.6,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
131,Palauig,PH,67.46,clear sky,15.44,119.9,Myhousebythesea
132,Coquimbo,CL,64.4,broken clouds,-29.95,-71.34,Hotel San Juan
133,Los Llanos De Aridane,ES,64.4,broken clouds,28.66,-17.92,Valle Aridane
139,Malkangiri,IN,68.88,clear sky,18.35,81.9,Girls' Hostel
145,Tessalit,ML,73.29,broken clouds,20.2,1.01,
148,Atar,MR,73.51,clear sky,20.52,-13.05,Oumou Elghoura
164,Henties Bay,,66.0,broken clouds,-22.12,14.28,Fishermans Guest House
170,Batu,ID,66.69,overcast clouds,-7.87,112.53,Pondok Jatim Park Hotel & Café
171,Ahwa,IN,64.76,clear sky,20.75,73.68,GREEN ORAA HOMESTAY AHWA
176,Ishigaki,JP,68.0,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
182,Nabire,ID,70.65,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
185,Taltal,CL,66.85,clear sky,-25.4,-70.48,Residencial Karime
188,Yulara,AU,73.4,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
191,Tocopilla,CL,71.91,few clouds,-22.09,-70.2,Hotel Galvarino
193,Chabahar,IR,68.86,broken clouds,25.29,60.64,هتل گدروشیا
194,Paungde,MM,65.93,clear sky,18.48,95.5,Aye Yeik Nyein Guest House ရှမ်းအစားအစာနှင့် ရေခဲမုန့်
195,Cape Town,ZA,68.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
196,Humen,CN,62.6,clear sky,22.82,113.67,豪门大饭店
197,Kasulu,TZ,71.6,few clouds,-4.58,30.1,Capital Lodge
200,Kaitangata,NZ,64.99,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
204,Lianzhou,CN,56.7,overcast clouds,24.78,112.38,Qingcheng Tourism Industry
212,Flagstaff,US,70.0,clear sky,35.2,-111.65,Drury Inn & Suites Flagstaff
