City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Esperance,-33.87,121.9,66.2,63,2,16.11,AU,2020-02-14 23:00:26
1,Leeton,-34.57,146.4,73.4,88,90,9.17,AU,2020-02-14 23:00:26
2,Kuusamo,65.97,29.18,17.6,92,90,8.05,FI,2020-02-14 23:00:27
3,Tra Vinh,9.93,106.35,76.39,84,27,3.31,VN,2020-02-14 23:00:08
4,Pathein,16.78,94.73,71.4,78,18,9.26,MM,2020-02-14 23:00:27
5,Bethel,41.37,-73.41,27.0,29,1,10.29,US,2020-02-14 23:00:27
6,Busselton,-33.65,115.33,75.0,56,0,7.23,AU,2020-02-14 23:00:28
7,Aklavik,68.22,-135.01,-25.6,66,5,4.7,CA,2020-02-14 23:00:28
8,Saint-Philippe,-21.36,55.77,78.8,78,9,6.93,RE,2020-02-14 23:00:28
9,Punta Arenas,-53.15,-70.92,53.6,58,75,19.46,CL,2020-02-14 23:00:29
10,Ushuaia,-54.8,-68.3,48.2,70,40,27.51,AR,2020-02-14 23:00:29
11,Saint George,37.1,-113.58,59.0,15,1,6.93,US,2020-02-14 22:58:16
12,Butaritari,3.07,172.79,83.91,78,96,17.98,KI,2020-02-14 23:00:29
13,Gobabis,-22.45,18.97,75.02,45,66,5.53,NA,2020-02-14 23:00:29
14,Puerto Ayora,-0.74,-90.35,86.0,62,20,18.34,EC,2020-02-14 23:00:30
15,Roma,43.21,-75.46,10.4,55,1,12.75,US,2020-02-14 23:00:05
16,Ornskoldsvik,63.29,18.72,15.8,85,67,4.27,SE,2020-02-14 22:56:14
17,Dikson,73.51,80.55,8.11,93,94,18.92,RU,2020-02-14 23:00:30
18,Salto,-31.38,-57.97,79.0,84,60,3.0,UY,2020-02-14 22:58:52
19,Nemuro,43.32,145.57,24.04,72,100,2.98,JP,2020-02-14 23:00:31
20,Mandera,3.94,41.87,81.54,51,37,13.69,KE,2020-02-14 23:00:31
21,Tiksi,71.69,128.87,-13.04,89,100,8.79,RU,2020-02-14 23:00:31
22,Hobart,-42.88,147.33,60.01,82,75,17.22,AU,2020-02-14 22:58:15
23,Caravelas,-17.71,-39.25,80.96,83,62,11.95,BR,2020-02-14 23:00:32
24,Yar-Sale,66.83,70.83,8.58,95,99,3.27,RU,2020-02-14 23:00:32
25,Jinchang,38.5,102.17,6.24,58,0,2.8,CN,2020-02-14 23:00:32
26,Hilo,19.73,-155.09,82.4,54,20,11.41,US,2020-02-14 23:00:32
27,Saint-Joseph,-21.37,55.62,78.8,78,43,6.93,RE,2020-02-14 23:00:33
28,Hithadhoo,-0.6,73.08,82.18,74,0,5.08,MV,2020-02-14 23:00:33
29,Yenagoa,4.92,6.26,75.2,85,0,3.76,NG,2020-02-14 22:57:32
30,Namatanai,-3.67,152.43,83.37,76,95,11.16,PG,2020-02-14 23:00:33
31,Kingsport,36.55,-82.56,39.2,34,1,6.93,US,2020-02-14 22:57:04
32,Mahebourg,-20.41,57.7,78.8,94,75,13.87,MU,2020-02-14 23:00:34
33,High Level,58.52,-117.14,-7.6,63,20,11.41,CA,2020-02-14 23:00:34
34,Geraldton,-28.77,114.6,66.2,93,100,6.93,AU,2020-02-14 23:00:34
35,Athabasca,54.72,-113.29,-0.44,85,90,8.95,CA,2020-02-14 23:00:34
36,Mingyue,43.11,128.92,20.44,80,100,0.94,CN,2020-02-14 23:00:34
37,Mataura,-46.19,168.86,70.0,71,100,1.01,NZ,2020-02-14 23:00:35
38,Bluff,-46.6,168.33,70.0,71,38,1.01,NZ,2020-02-14 23:00:35
39,Los Llanos De Aridane,28.66,-17.92,70.0,82,0,4.7,ES,2020-02-14 23:00:35
40,Carnarvon,-24.87,113.63,73.4,83,4,10.29,AU,2020-02-14 23:00:35
41,Saint-Leu,-21.15,55.28,78.8,78,17,6.93,RE,2020-02-14 23:00:35
42,Atar,20.52,-13.05,71.6,13,100,12.26,MR,2020-02-14 23:00:36
43,Vila Franca Do Campo,37.72,-25.43,62.6,82,20,18.34,PT,2020-02-14 23:00:36
44,Rikitea,-23.12,-134.97,79.77,73,48,13.6,PF,2020-02-14 23:00:36
45,Lagos,6.58,3.75,80.6,83,0,2.24,NG,2020-02-14 22:56:50
46,Georgetown,5.41,100.34,82.0,88,20,5.82,MY,2020-02-14 22:58:12
47,Jamestown,42.1,-79.24,12.99,60,1,6.93,US,2020-02-14 22:57:16
48,New Norfolk,-42.78,147.06,60.01,82,75,17.22,AU,2020-02-14 23:00:37
49,Saint Anthony,45.02,-93.22,16.0,51,1,14.99,US,2020-02-14 23:00:37
50,Thinadhoo,0.53,72.93,82.62,77,0,7.65,MV,2020-02-14 23:00:38
51,Tura,25.52,90.22,58.89,57,34,2.71,IN,2020-02-14 23:00:38
52,Yeniseysk,58.45,92.17,7.99,96,95,3.69,RU,2020-02-14 23:00:38
53,Vilyuysk,63.76,121.62,-20.24,98,8,2.62,RU,2020-02-14 23:00:38
54,San Policarpo,12.18,125.51,80.38,77,63,9.98,PH,2020-02-14 23:00:39
55,Fortuna,40.6,-124.16,57.99,57,1,11.41,US,2020-02-14 22:58:30
56,Sukagawa,37.28,140.38,55.99,70,75,13.87,JP,2020-02-14 23:00:39
57,Lompoc,34.64,-120.46,64.4,52,1,6.93,US,2020-02-14 22:56:44
58,Barra Patuca,15.8,-84.28,80.19,77,0,10.25,HN,2020-02-14 23:00:40
59,Bredasdorp,-34.53,20.04,69.8,64,89,2.24,ZA,2020-02-14 23:00:40
60,Alofi,-19.06,-169.92,84.2,70,100,16.11,NU,2020-02-14 23:00:40
61,Lasa,46.62,10.7,39.2,85,5,2.24,IT,2020-02-14 23:00:40
62,Cape Town,-33.93,18.42,68.0,77,0,11.41,ZA,2020-02-14 22:58:07
63,Norman Wells,65.28,-126.83,-23.8,61,75,3.36,CA,2020-02-14 23:00:41
64,Upernavik,72.79,-56.15,6.85,53,100,7.74,GL,2020-02-14 23:00:41
65,Cairns,-16.92,145.77,91.99,52,14,13.87,AU,2020-02-14 23:00:41
66,Atuona,-9.8,-139.03,81.46,74,100,14.85,PF,2020-02-14 23:00:41
67,Leningradskiy,69.38,178.42,-1.53,95,100,12.55,RU,2020-02-14 23:00:41
68,Sasina,44.8,16.74,35.6,100,1,3.36,BA,2020-02-14 23:00:42
69,Lisakovsk,52.54,62.49,17.8,93,56,8.37,KZ,2020-02-14 22:58:08
70,Kathmandu,27.72,85.32,50.0,93,75,3.11,NP,2020-02-14 23:00:42
71,Qaanaaq,77.48,-69.36,-3.33,40,0,7.74,GL,2020-02-14 23:00:42
72,Erenhot,43.65,111.98,2.55,81,100,4.09,CN,2020-02-14 23:00:42
73,Cururupu,-1.83,-44.87,73.63,97,89,2.3,BR,2020-02-14 23:00:43
74,Bathsheba,13.22,-59.52,78.8,74,40,17.22,BB,2020-02-14 23:00:43
75,Boyolangu,-8.12,111.89,78.3,85,78,0.92,ID,2020-02-14 23:00:43
76,Vilhena,-12.74,-60.15,84.2,62,40,6.93,BR,2020-02-14 23:00:43
77,Thompson,55.74,-97.86,5.0,77,90,12.75,CA,2020-02-14 23:00:44
78,Dakar,14.69,-17.44,78.8,41,100,12.75,SN,2020-02-14 23:00:44
79,Boguchany,58.38,97.45,4.78,97,42,2.71,RU,2020-02-14 23:00:44
80,Tasiilaq,65.61,-37.64,32.0,61,100,32.21,GL,2020-02-14 23:00:44
81,Buriti Dos Lopes,-3.17,-41.87,74.97,95,98,3.31,BR,2020-02-14 23:00:44
82,Lazaro Cardenas,17.96,-102.2,81.54,55,0,3.94,MX,2020-02-14 23:00:45
83,Saskylakh,71.92,114.08,9.66,92,99,10.42,RU,2020-02-14 23:00:45
84,Dubbo,-32.25,148.62,75.2,69,75,4.7,AU,2020-02-14 23:00:45
85,Jalu,29.03,21.55,59.09,73,0,8.1,LY,2020-02-14 23:00:45
